p;n;connectedGraphsPercentatge
0.000000;10;1.000000
0.010000;10;1.000000
0.020000;10;1.000000
0.030000;10;1.000000
0.040000;10;1.000000
0.050000;10;1.000000
0.060000;10;1.000000
0.070000;10;1.000000
0.080000;10;0.999000
0.090000;10;0.999000
0.100000;10;0.999000
0.110000;10;0.997000
0.120000;10;0.999000
0.130000;10;1.000000
0.140000;10;0.998000
0.150000;10;0.999000
0.160000;10;0.996000
0.170000;10;0.995000
0.180000;10;0.998000
0.190000;10;0.997000
0.200000;10;0.992000
0.210000;10;0.993000
0.220000;10;0.998000
0.230000;10;0.994000
0.240000;10;0.997000
0.250000;10;0.994000
0.260000;10;0.995000
0.270000;10;0.991000
0.280000;10;0.995000
0.290000;10;0.992000
0.300000;10;0.999000
0.310000;10;0.983000
0.320000;10;0.986000
0.330000;10;0.990000
0.340000;10;0.991000
0.350000;10;0.989000
0.360000;10;0.984000
0.370000;10;0.983000
0.380000;10;0.973000
0.390000;10;0.978000
0.400000;10;0.984000
0.410000;10;0.970000
0.420000;10;0.981000
0.430000;10;0.976000
0.440000;10;0.981000
0.450000;10;0.968000
0.460000;10;0.980000
0.470000;10;0.968000
0.480000;10;0.965000
0.490000;10;0.971000
0.500000;10;0.970000
0.510000;10;0.957000
0.520000;10;0.958000
0.530000;10;0.959000
0.540000;10;0.943000
0.550000;10;0.945000
0.560000;10;0.959000
0.570000;10;0.943000
0.580000;10;0.943000
0.590000;10;0.928000
0.600000;10;0.936000
0.610000;10;0.931000
0.620000;10;0.924000
0.630000;10;0.906000
0.640000;10;0.907000
0.650000;10;0.922000
0.660000;10;0.922000
0.670000;10;0.920000
0.680000;10;0.910000
0.690000;10;0.879000
0.700000;10;0.896000
0.710000;10;0.890000
0.720000;10;0.876000
0.730000;10;0.885000
0.740000;10;0.877000
0.750000;10;0.867000
0.760000;10;0.863000
0.770000;10;0.850000
0.780000;10;0.850000
0.790000;10;0.814000
0.800000;10;0.820000
0.810000;10;0.813000
0.820000;10;0.812000
0.830000;10;0.761000
0.840000;10;0.768000
0.850000;10;0.766000
0.860000;10;0.703000
0.870000;10;0.708000
0.880000;10;0.672000
0.890000;10;0.652000
0.900000;10;0.591000
0.910000;10;0.586000
0.920000;10;0.532000
0.930000;10;0.482000
0.940000;10;0.437000
0.950000;10;0.412000
0.960000;10;0.298000
0.970000;10;0.288000
0.980000;10;0.171000
0.990000;10;0.102000
1.000000;10;0.000000
0.000000;20;1.000000
0.010000;20;1.000000
0.020000;20;1.000000
0.030000;20;1.000000
0.040000;20;1.000000
0.050000;20;1.000000
0.060000;20;1.000000
0.070000;20;1.000000
0.080000;20;1.000000
0.090000;20;1.000000
0.100000;20;1.000000
0.110000;20;1.000000
0.120000;20;1.000000
0.130000;20;1.000000
0.140000;20;1.000000
0.150000;20;1.000000
0.160000;20;1.000000
0.170000;20;1.000000
0.180000;20;1.000000
0.190000;20;1.000000
0.200000;20;1.000000
0.210000;20;0.999000
0.220000;20;1.000000
0.230000;20;1.000000
0.240000;20;1.000000
0.250000;20;1.000000
0.260000;20;1.000000
0.270000;20;1.000000
0.280000;20;1.000000
0.290000;20;1.000000
0.300000;20;1.000000
0.310000;20;1.000000
0.320000;20;1.000000
0.330000;20;1.000000
0.340000;20;1.000000
0.350000;20;1.000000
0.360000;20;1.000000
0.370000;20;1.000000
0.380000;20;1.000000
0.390000;20;0.998000
0.400000;20;1.000000
0.410000;20;0.997000
0.420000;20;0.998000
0.430000;20;1.000000
0.440000;20;0.999000
0.450000;20;0.999000
0.460000;20;0.997000
0.470000;20;0.998000
0.480000;20;0.999000
0.490000;20;1.000000
0.500000;20;0.999000
0.510000;20;1.000000
0.520000;20;0.999000
0.530000;20;0.999000
0.540000;20;0.996000
0.550000;20;0.997000
0.560000;20;0.996000
0.570000;20;0.998000
0.580000;20;0.998000
0.590000;20;0.989000
0.600000;20;0.990000
0.610000;20;0.992000
0.620000;20;0.990000
0.630000;20;0.988000
0.640000;20;0.985000
0.650000;20;0.988000
0.660000;20;0.985000
0.670000;20;0.981000
0.680000;20;0.983000
0.690000;20;0.974000
0.700000;20;0.979000
0.710000;20;0.974000
0.720000;20;0.961000
0.730000;20;0.961000
0.740000;20;0.958000
0.750000;20;0.963000
0.760000;20;0.943000
0.770000;20;0.942000
0.780000;20;0.943000
0.790000;20;0.944000
0.800000;20;0.922000
0.810000;20;0.924000
0.820000;20;0.915000
0.830000;20;0.915000
0.840000;20;0.900000
0.850000;20;0.880000
0.860000;20;0.865000
0.870000;20;0.862000
0.880000;20;0.855000
0.890000;20;0.844000
0.900000;20;0.801000
0.910000;20;0.766000
0.920000;20;0.742000
0.930000;20;0.693000
0.940000;20;0.674000
0.950000;20;0.615000
0.960000;20;0.521000
0.970000;20;0.445000
0.980000;20;0.327000
0.990000;20;0.172000
1.000000;20;0.000000
0.000000;30;1.000000
0.010000;30;1.000000
0.020000;30;1.000000
0.030000;30;1.000000
0.040000;30;1.000000
0.050000;30;1.000000
0.060000;30;1.000000
0.070000;30;1.000000
0.080000;30;1.000000
0.090000;30;1.000000
0.100000;30;1.000000
0.110000;30;1.000000
0.120000;30;1.000000
0.130000;30;1.000000
0.140000;30;1.000000
0.150000;30;1.000000
0.160000;30;1.000000
0.170000;30;1.000000
0.180000;30;1.000000
0.190000;30;1.000000
