p;n;connectedGraphsPercentatge
0.290000;70;0.037000
0.300000;70;0.022000
0.310000;70;0.018000
0.320000;70;0.003000
0.330000;70;0.003000
0.340000;70;0.002000
0.350000;70;0.002000
0.360000;70;0.000000
0.370000;70;0.000000
0.380000;70;0.000000
0.390000;70;0.000000
0.400000;70;0.000000
0.410000;70;0.000000
0.420000;70;0.000000
0.430000;70;0.000000
0.440000;70;0.000000
0.450000;70;0.000000
0.460000;70;0.000000
0.470000;70;0.000000
0.480000;70;0.000000
0.490000;70;0.000000
0.500000;70;0.000000
0.510000;70;0.000000
0.520000;70;0.000000
0.530000;70;0.000000
0.540000;70;0.000000
0.550000;70;0.000000
0.560000;70;0.000000
0.570000;70;0.000000
0.580000;70;0.000000
0.590000;70;0.000000
0.600000;70;0.000000
0.610000;70;0.000000
0.620000;70;0.000000
0.630000;70;0.000000
0.640000;70;0.000000
0.650000;70;0.000000
0.660000;70;0.000000
0.670000;70;0.000000
0.680000;70;0.000000
0.690000;70;0.000000
0.700000;70;0.000000
0.710000;70;0.000000
0.720000;70;0.000000
0.730000;70;0.000000
0.740000;70;0.000000
0.750000;70;0.000000
0.760000;70;0.000000
0.770000;70;0.000000
0.780000;70;0.000000
0.790000;70;0.000000
0.800000;70;0.000000
0.810000;70;0.000000
0.820000;70;0.000000
0.830000;70;0.000000
0.840000;70;0.000000
0.850000;70;0.000000
0.860000;70;0.000000
0.870000;70;0.000000
0.880000;70;0.000000
0.890000;70;0.000000
0.900000;70;0.000000
0.910000;70;0.000000
0.920000;70;0.000000
0.930000;70;0.000000
0.940000;70;0.000000
0.950000;70;0.000000
0.960000;70;0.000000
0.970000;70;0.000000
0.980000;70;0.000000
0.990000;70;0.000000
1.000000;70;0.000000
0.000000;80;1.000000
0.010000;80;0.999000
0.020000;80;1.000000
0.030000;80;0.999000
0.040000;80;0.994000
0.050000;80;0.991000
0.060000;80;0.990000
0.070000;80;0.978000
0.080000;80;0.974000
0.090000;80;0.962000
0.100000;80;0.949000
0.110000;80;0.926000
0.120000;80;0.897000
0.130000;80;0.874000
0.140000;80;0.819000
0.150000;80;0.812000
0.160000;80;0.746000
0.170000;80;0.711000
0.180000;80;0.644000
0.190000;80;0.546000
0.200000;80;0.488000
0.210000;80;0.413000
0.220000;80;0.332000
0.230000;80;0.268000
0.240000;80;0.189000
0.250000;80;0.150000
0.260000;80;0.100000
0.270000;80;0.064000
0.280000;80;0.033000
0.290000;80;0.019000
0.300000;80;0.015000
0.310000;80;0.006000
0.320000;80;0.001000
0.330000;80;0.000000
0.340000;80;0.000000
0.350000;80;0.000000
0.360000;80;0.000000
0.370000;80;0.000000
0.380000;80;0.000000
0.390000;80;0.000000
0.400000;80;0.000000
0.410000;80;0.000000
0.420000;80;0.000000
0.430000;80;0.000000
0.440000;80;0.000000
0.450000;80;0.000000
0.460000;80;0.000000
0.470000;80;0.000000
0.480000;80;0.000000
0.490000;80;0.000000
0.500000;80;0.000000
0.510000;80;0.000000
0.520000;80;0.000000
0.530000;80;0.000000
0.540000;80;0.000000
0.550000;80;0.000000
0.560000;80;0.000000
0.570000;80;0.000000
0.580000;80;0.000000
0.590000;80;0.000000
0.600000;80;0.000000
0.610000;80;0.000000
0.620000;80;0.000000
0.630000;80;0.000000
0.640000;80;0.000000
0.650000;80;0.000000
0.660000;80;0.000000
0.670000;80;0.000000
0.680000;80;0.000000
0.690000;80;0.000000
0.700000;80;0.000000
0.710000;80;0.000000
0.720000;80;0.000000
0.730000;80;0.000000
0.740000;80;0.000000
0.750000;80;0.000000
0.760000;80;0.000000
0.770000;80;0.000000
0.780000;80;0.000000
0.790000;80;0.000000
0.800000;80;0.000000
0.810000;80;0.000000
0.820000;80;0.000000
0.830000;80;0.000000
0.840000;80;0.000000
0.850000;80;0.000000
0.860000;80;0.000000
0.870000;80;0.000000
0.880000;80;0.000000
0.890000;80;0.000000
0.900000;80;0.000000
0.910000;80;0.000000
0.920000;80;0.000000
0.930000;80;0.000000
0.940000;80;0.000000
0.950000;80;0.000000
0.960000;80;0.000000
0.970000;80;0.000000
0.980000;80;0.000000
0.990000;80;0.000000
1.000000;80;0.000000
0.000000;90;1.000000
0.010000;90;1.000000
0.020000;90;1.000000
0.030000;90;0.998000
0.040000;90;0.995000
0.050000;90;0.992000
0.060000;90;0.984000
0.070000;90;0.974000
0.080000;90;0.965000
0.090000;90;0.974000
0.100000;90;0.921000
0.110000;90;0.919000
0.120000;90;0.884000
0.130000;90;0.866000
0.140000;90;0.824000
0.150000;90;0.793000
0.160000;90;0.714000
0.170000;90;0.667000
0.180000;90;0.583000
0.190000;90;0.511000
