p;n;connectedGraphsPercentatge
0.000000;50;1.000000
0.010000;50;1.000000
0.020000;50;0.993000
0.030000;50;0.978000
0.040000;50;0.961000
0.050000;50;0.949000
0.060000;50;0.919000
0.070000;50;0.913000
0.080000;50;0.881000
0.090000;50;0.867000
0.100000;50;0.832000
0.110000;50;0.818000
0.120000;50;0.786000
0.130000;50;0.725000
0.140000;50;0.705000
0.150000;50;0.688000
0.160000;50;0.661000
0.170000;50;0.619000
0.180000;50;0.589000
0.190000;50;0.543000
0.200000;50;0.504000
0.210000;50;0.506000
0.220000;50;0.476000
0.230000;50;0.407000
0.240000;50;0.401000
0.250000;50;0.396000
0.260000;50;0.361000
0.270000;50;0.344000
0.280000;50;0.304000
0.290000;50;0.276000
0.300000;50;0.254000
0.310000;50;0.292000
0.320000;50;0.247000
0.330000;50;0.235000
0.340000;50;0.192000
0.350000;50;0.202000
0.360000;50;0.164000
0.370000;50;0.148000
0.380000;50;0.158000
0.390000;50;0.131000
0.400000;50;0.135000
0.410000;50;0.129000
0.420000;50;0.098000
0.430000;50;0.100000
0.440000;50;0.088000
0.450000;50;0.077000
0.460000;50;0.068000
0.470000;50;0.066000
0.480000;50;0.073000
0.490000;50;0.054000
0.500000;50;0.055000
0.510000;50;0.064000
0.520000;50;0.044000
0.530000;50;0.037000
0.540000;50;0.030000
0.550000;50;0.036000
0.560000;50;0.032000
0.570000;50;0.031000
0.580000;50;0.027000
0.590000;50;0.023000
0.600000;50;0.026000
0.610000;50;0.022000
0.620000;50;0.013000
0.630000;50;0.021000
0.640000;50;0.020000
0.650000;50;0.014000
0.660000;50;0.010000
0.670000;50;0.016000
0.680000;50;0.010000
0.690000;50;0.012000
0.700000;50;0.010000
0.710000;50;0.008000
0.720000;50;0.006000
0.730000;50;0.005000
0.740000;50;0.013000
0.750000;50;0.006000
0.760000;50;0.009000
0.770000;50;0.012000
0.780000;50;0.006000
0.790000;50;0.008000
0.800000;50;0.006000
0.810000;50;0.009000
0.820000;50;0.006000
0.830000;50;0.009000
0.840000;50;0.012000
0.850000;50;0.016000
0.860000;50;0.013000
0.870000;50;0.022000
0.880000;50;0.025000
0.890000;50;0.037000
0.900000;50;0.045000
0.910000;50;0.053000
0.920000;50;0.083000
0.930000;50;0.113000
0.940000;50;0.185000
0.950000;50;0.228000
0.960000;50;0.324000
0.970000;50;0.359000
0.980000;50;0.354000
0.990000;50;0.315000
1.000000;50;0.000000
0.000000;100;1.000000
0.010000;100;0.997000
0.020000;100;0.981000
0.030000;100;0.963000
0.040000;100;0.941000
0.050000;100;0.903000
0.060000;100;0.877000
0.070000;100;0.837000
0.080000;100;0.769000
0.090000;100;0.718000
0.100000;100;0.697000
0.110000;100;0.628000
0.120000;100;0.585000
0.130000;100;0.547000
0.140000;100;0.500000
0.150000;100;0.459000
0.160000;100;0.425000
0.170000;100;0.389000
0.180000;100;0.313000
0.190000;100;0.338000
0.200000;100;0.259000
0.210000;100;0.244000
0.220000;100;0.231000
0.230000;100;0.219000
0.240000;100;0.165000
0.250000;100;0.168000
0.260000;100;0.150000
0.270000;100;0.127000
0.280000;100;0.084000
0.290000;100;0.101000
0.300000;100;0.081000
0.310000;100;0.083000
0.320000;100;0.071000
0.330000;100;0.053000
0.340000;100;0.046000
0.350000;100;0.030000
0.360000;100;0.036000
0.370000;100;0.028000
0.380000;100;0.035000
0.390000;100;0.019000
0.400000;100;0.020000
0.410000;100;0.018000
0.420000;100;0.017000
0.430000;100;0.013000
0.440000;100;0.010000
0.450000;100;0.008000
0.460000;100;0.003000
0.470000;100;0.005000
0.480000;100;0.006000
0.490000;100;0.005000
0.500000;100;0.005000
0.510000;100;0.005000
0.520000;100;0.004000
0.530000;100;0.000000
0.540000;100;0.004000
0.550000;100;0.003000
0.560000;100;0.002000
