p;n;connectedGraphsPercentatge
0.000000;10;1.000000
0.010000;10;1.000000
0.020000;10;0.999000
0.030000;10;0.996000
0.040000;10;0.993000
0.050000;10;0.993000
0.060000;10;0.992000
0.070000;10;0.982000
0.080000;10;0.986000
0.090000;10;0.969000
0.100000;10;0.971000
0.110000;10;0.964000
0.120000;10;0.945000
0.130000;10;0.949000
0.140000;10;0.944000
0.150000;10;0.941000
0.160000;10;0.922000
0.170000;10;0.931000
0.180000;10;0.891000
0.190000;10;0.903000
0.200000;10;0.909000
0.210000;10;0.878000
0.220000;10;0.865000
0.230000;10;0.866000
0.240000;10;0.824000
0.250000;10;0.852000
0.260000;10;0.824000
0.270000;10;0.791000
0.280000;10;0.828000
0.290000;10;0.811000
0.300000;10;0.782000
0.310000;10;0.790000
0.320000;10;0.775000
0.330000;10;0.760000
0.340000;10;0.748000
0.350000;10;0.721000
0.360000;10;0.741000
0.370000;10;0.718000
0.380000;10;0.693000
0.390000;10;0.678000
0.400000;10;0.669000
0.410000;10;0.681000
0.420000;10;0.650000
0.430000;10;0.667000
0.440000;10;0.625000
0.450000;10;0.648000
0.460000;10;0.633000
0.470000;10;0.624000
0.480000;10;0.619000
0.490000;10;0.601000
0.500000;10;0.581000
0.510000;10;0.614000
0.520000;10;0.591000
0.530000;10;0.622000
0.540000;10;0.573000
0.550000;10;0.570000
0.560000;10;0.580000
0.570000;10;0.599000
0.580000;10;0.524000
0.590000;10;0.536000
0.600000;10;0.547000
0.610000;10;0.545000
0.620000;10;0.532000
0.630000;10;0.491000
0.640000;10;0.535000
0.650000;10;0.535000
0.660000;10;0.505000
0.670000;10;0.534000
0.680000;10;0.530000
0.690000;10;0.508000
0.700000;10;0.488000
0.710000;10;0.568000
0.720000;10;0.531000
0.730000;10;0.557000
0.740000;10;0.536000
0.750000;10;0.543000
0.760000;10;0.540000
0.770000;10;0.550000
0.780000;10;0.546000
0.790000;10;0.588000
0.800000;10;0.555000
0.810000;10;0.540000
0.820000;10;0.542000
0.830000;10;0.558000
0.840000;10;0.570000
0.850000;10;0.542000
0.860000;10;0.550000
0.870000;10;0.532000
0.880000;10;0.527000
0.890000;10;0.523000
0.900000;10;0.503000
0.910000;10;0.496000
0.920000;10;0.454000
0.930000;10;0.440000
0.940000;10;0.407000
0.950000;10;0.345000
0.960000;10;0.295000
0.970000;10;0.263000
0.980000;10;0.160000
0.990000;10;0.093000
1.000000;10;0.000000
0.000000;20;1.000000
0.010000;20;0.999000
0.020000;20;0.998000
0.030000;20;0.987000
0.040000;20;0.985000
0.050000;20;0.976000
0.060000;20;0.969000
0.070000;20;0.975000
0.080000;20;0.959000
0.090000;20;0.937000
0.100000;20;0.930000
0.110000;20;0.899000
0.120000;20;0.901000
0.130000;20;0.885000
0.140000;20;0.868000
0.150000;20;0.851000
0.160000;20;0.853000
0.170000;20;0.826000
0.180000;20;0.812000
0.190000;20;0.769000
0.200000;20;0.782000
0.210000;20;0.761000
0.220000;20;0.749000
0.230000;20;0.704000
0.240000;20;0.684000
0.250000;20;0.673000
0.260000;20;0.685000
0.270000;20;0.614000
0.280000;20;0.641000
0.290000;20;0.593000
0.300000;20;0.616000
0.310000;20;0.544000
0.320000;20;0.542000
0.330000;20;0.533000
0.340000;20;0.555000
0.350000;20;0.536000
0.360000;20;0.480000
0.370000;20;0.472000
0.380000;20;0.439000
0.390000;20;0.416000
0.400000;20;0.438000
0.410000;20;0.403000
0.420000;20;0.421000
0.430000;20;0.349000
0.440000;20;0.403000
0.450000;20;0.339000
0.460000;20;0.336000
0.470000;20;0.323000
0.480000;20;0.321000
0.490000;20;0.331000
0.500000;20;0.301000
0.510000;20;0.267000
0.520000;20;0.280000
0.530000;20;0.253000
0.540000;20;0.275000
0.550000;20;0.253000
0.560000;20;0.246000
0.570000;20;0.228000
0.580000;20;0.232000
0.590000;20;0.207000
0.600000;20;0.213000
0.610000;20;0.202000
0.620000;20;0.190000
0.630000;20;0.209000
0.640000;20;0.180000
0.650000;20;0.179000
0.660000;20;0.172000
0.670000;20;0.167000
0.680000;20;0.166000
0.690000;20;0.181000
0.700000;20;0.164000
0.710000;20;0.176000
0.720000;20;0.181000
0.730000;20;0.174000
0.740000;20;0.164000
0.750000;20;0.159000
0.760000;20;0.169000
0.770000;20;0.173000
0.780000;20;0.162000
0.790000;20;0.206000
0.800000;20;0.193000
0.810000;20;0.209000
0.820000;20;0.213000
0.830000;20;0.220000
0.840000;20;0.242000
0.850000;20;0.254000
0.860000;20;0.307000
0.870000;20;0.290000
0.880000;20;0.305000
0.890000;20;0.362000
0.900000;20;0.375000
0.910000;20;0.397000
0.920000;20;0.415000
0.930000;20;0.441000
0.940000;20;0.432000
0.950000;20;0.416000
0.960000;20;0.413000
0.970000;20;0.333000
0.980000;20;0.305000
0.990000;20;0.187000
1.000000;20;0.000000
0.000000;30;1.000000
0.010000;30;0.996000
0.020000;30;0.996000
0.030000;30;0.993000
0.040000;30;0.972000
0.050000;30;0.972000
0.060000;30;0.956000
0.070000;30;0.945000
0.080000;30;0.948000
0.090000;30;0.924000
0.100000;30;0.907000
0.110000;30;0.866000
0.120000;30;0.859000
0.130000;30;0.814000
0.140000;30;0.795000
0.150000;30;0.770000
0.160000;30;0.773000
0.170000;30;0.741000
0.180000;30;0.709000
0.190000;30;0.696000
