p;n;connectedGraphsPercentatge
0.000000;50;1.000000
0.010000;50;0.959000
0.020000;50;0.937000
0.030000;50;0.910000
0.040000;50;0.859000
0.050000;50;0.837000
0.060000;50;0.812000
0.070000;50;0.772000
0.080000;50;0.707000
0.090000;50;0.671000
0.100000;50;0.645000
0.110000;50;0.627000
0.120000;50;0.604000
0.130000;50;0.561000
0.140000;50;0.537000
0.150000;50;0.542000
0.160000;50;0.495000
0.170000;50;0.416000
0.180000;50;0.420000
0.190000;50;0.417000
0.200000;50;0.323000
0.210000;50;0.336000
0.220000;50;0.301000
0.230000;50;0.265000
0.240000;50;0.262000
0.250000;50;0.245000
0.260000;50;0.241000
0.270000;50;0.204000
0.280000;50;0.172000
0.290000;50;0.159000
0.300000;50;0.146000
0.310000;50;0.140000
0.320000;50;0.125000
0.330000;50;0.102000
0.340000;50;0.091000
0.350000;50;0.075000
0.360000;50;0.069000
0.370000;50;0.058000
0.380000;50;0.039000
0.390000;50;0.043000
0.400000;50;0.034000
0.410000;50;0.030000
0.420000;50;0.018000
0.430000;50;0.017000
0.440000;50;0.018000
0.450000;50;0.016000
0.460000;50;0.008000
0.470000;50;0.014000
0.480000;50;0.006000
0.490000;50;0.006000
0.500000;50;0.003000
0.510000;50;0.004000
0.520000;50;0.003000
0.530000;50;0.003000
0.540000;50;0.000000
0.550000;50;0.000000
0.560000;50;0.000000
0.570000;50;0.001000
0.580000;50;0.001000
0.590000;50;0.000000
0.600000;50;0.000000
0.610000;50;0.000000
0.620000;50;0.000000
0.630000;50;0.000000
0.640000;50;0.000000
0.650000;50;0.000000
0.660000;50;0.000000
0.670000;50;0.000000
0.680000;50;0.000000
0.690000;50;0.000000
0.700000;50;0.000000
0.710000;50;0.000000
0.720000;50;0.000000
0.730000;50;0.000000
0.740000;50;0.000000
0.750000;50;0.000000
0.760000;50;0.000000
0.770000;50;0.000000
0.780000;50;0.000000
0.790000;50;0.000000
0.800000;50;0.000000
0.810000;50;0.000000
0.820000;50;0.000000
0.830000;50;0.000000
0.840000;50;0.000000
0.850000;50;0.000000
0.860000;50;0.000000
0.870000;50;0.000000
0.880000;50;0.000000
0.890000;50;0.000000
0.900000;50;0.000000
0.910000;50;0.000000
0.920000;50;0.000000
0.930000;50;0.000000
0.940000;50;0.000000
0.950000;50;0.000000
0.960000;50;0.000000
0.970000;50;0.000000
0.980000;50;0.000000
0.990000;50;0.000000
1.000000;50;0.000000
0.000000;100;1.000000
0.010000;100;0.992000
0.020000;100;0.987000
0.030000;100;0.991000
0.040000;100;0.988000
0.050000;100;0.989000
0.060000;100;0.979000
0.070000;100;0.984000
0.080000;100;0.973000
0.090000;100;0.970000
0.100000;100;0.961000
0.110000;100;0.962000
0.120000;100;0.943000
0.130000;100;0.946000
0.140000;100;0.928000
0.150000;100;0.922000
0.160000;100;0.933000
0.170000;100;0.918000
0.180000;100;0.890000
0.190000;100;0.903000
0.200000;100;0.899000
0.210000;100;0.881000
0.220000;100;0.855000
0.230000;100;0.858000
0.240000;100;0.863000
0.250000;100;0.850000
0.260000;100;0.831000
0.270000;100;0.813000
0.280000;100;0.804000
0.290000;100;0.784000
0.300000;100;0.769000
0.310000;100;0.754000
0.320000;100;0.725000
0.330000;100;0.697000
0.340000;100;0.724000
0.350000;100;0.674000
0.360000;100;0.665000
0.370000;100;0.658000
0.380000;100;0.609000
0.390000;100;0.598000
0.400000;100;0.588000
0.410000;100;0.561000
0.420000;100;0.555000
0.430000;100;0.501000
0.440000;100;0.474000
0.450000;100;0.440000
0.460000;100;0.416000
0.470000;100;0.395000
0.480000;100;0.370000
0.490000;100;0.352000
0.500000;100;0.318000
0.510000;100;0.293000
0.520000;100;0.254000
0.530000;100;0.227000
0.540000;100;0.213000
0.550000;100;0.178000
0.560000;100;0.168000
0.570000;100;0.132000
0.580000;100;0.102000
0.590000;100;0.081000
0.600000;100;0.072000
0.610000;100;0.052000
0.620000;100;0.038000
0.630000;100;0.030000
0.640000;100;0.017000
0.650000;100;0.019000
0.660000;100;0.009000
0.670000;100;0.005000
0.680000;100;0.005000
0.690000;100;0.001000
0.700000;100;0.002000
0.710000;100;0.001000
0.720000;100;0.000000
0.730000;100;0.000000
0.740000;100;0.000000
0.750000;100;0.000000
0.760000;100;0.000000
0.770000;100;0.000000
0.780000;100;0.000000
0.790000;100;0.000000
0.800000;100;0.000000
0.810000;100;0.000000
0.820000;100;0.000000
0.830000;100;0.000000
0.840000;100;0.000000
0.850000;100;0.000000
0.860000;100;0.000000
0.870000;100;0.000000
0.880000;100;0.000000
0.890000;100;0.000000
0.900000;100;0.000000
0.910000;100;0.000000
0.920000;100;0.000000
0.930000;100;0.000000
0.940000;100;0.000000
0.950000;100;0.000000
0.960000;100;0.000000
0.970000;100;0.000000
0.980000;100;0.000000
0.990000;100;0.000000
1.000000;100;0.000000
