p;n;connectedGraphsPercentatge
0.000000;10;1.000000
0.010000;10;0.995000
0.020000;10;0.988000
0.030000;10;0.968000
0.040000;10;0.963000
0.050000;10;0.962000
0.060000;10;0.955000
0.070000;10;0.938000
0.080000;10;0.931000
0.090000;10;0.928000
0.100000;10;0.902000
0.110000;10;0.894000
0.120000;10;0.903000
0.130000;10;0.865000
0.140000;10;0.881000
0.150000;10;0.850000
0.160000;10;0.843000
0.170000;10;0.854000
0.180000;10;0.835000
0.190000;10;0.815000
0.200000;10;0.803000
0.210000;10;0.795000
0.220000;10;0.801000
0.230000;10;0.776000
0.240000;10;0.797000
0.250000;10;0.782000
0.260000;10;0.744000
0.270000;10;0.758000
0.280000;10;0.747000
0.290000;10;0.713000
0.300000;10;0.702000
0.310000;10;0.703000
0.320000;10;0.683000
0.330000;10;0.676000
0.340000;10;0.700000
0.350000;10;0.666000
0.360000;10;0.661000
0.370000;10;0.651000
0.380000;10;0.620000
0.390000;10;0.665000
0.400000;10;0.636000
0.410000;10;0.645000
0.420000;10;0.590000
0.430000;10;0.620000
0.440000;10;0.588000
0.450000;10;0.601000
0.460000;10;0.608000
0.470000;10;0.559000
0.480000;10;0.573000
0.490000;10;0.557000
0.500000;10;0.536000
0.510000;10;0.549000
0.520000;10;0.556000
0.530000;10;0.542000
0.540000;10;0.526000
0.550000;10;0.531000
0.560000;10;0.521000
0.570000;10;0.529000
0.580000;10;0.506000
0.590000;10;0.520000
0.600000;10;0.496000
0.610000;10;0.483000
0.620000;10;0.517000
0.630000;10;0.534000
0.640000;10;0.519000
0.650000;10;0.511000
0.660000;10;0.526000
0.670000;10;0.521000
0.680000;10;0.498000
0.690000;10;0.528000
0.700000;10;0.510000
0.710000;10;0.513000
0.720000;10;0.534000
0.730000;10;0.525000
0.740000;10;0.537000
0.750000;10;0.572000
0.760000;10;0.570000
0.770000;10;0.551000
0.780000;10;0.545000
0.790000;10;0.546000
0.800000;10;0.547000
0.810000;10;0.533000
0.820000;10;0.547000
0.830000;10;0.532000
0.840000;10;0.554000
0.850000;10;0.559000
0.860000;10;0.543000
0.870000;10;0.586000
0.880000;10;0.550000
0.890000;10;0.549000
0.900000;10;0.513000
0.910000;10;0.489000
0.920000;10;0.429000
0.930000;10;0.434000
0.940000;10;0.406000
0.950000;10;0.359000
0.960000;10;0.290000
0.970000;10;0.272000
0.980000;10;0.195000
0.990000;10;0.097000
1.000000;10;0.000000
0.000000;20;1.000000
0.010000;20;1.000000
0.020000;20;0.998000
0.030000;20;0.998000
0.040000;20;0.995000
0.050000;20;0.998000
0.060000;20;0.993000
0.070000;20;0.996000
0.080000;20;0.990000
0.090000;20;0.988000
0.100000;20;0.988000
0.110000;20;0.986000
0.120000;20;0.989000
0.130000;20;0.985000
0.140000;20;0.978000
0.150000;20;0.986000
0.160000;20;0.982000
0.170000;20;0.971000
0.180000;20;0.977000
