p;n;connectedGraphsPercentatge
0.000000;10;1.000000
0.010000;10;0.960000
0.020000;10;0.917000
0.030000;10;0.865000
0.040000;10;0.848000
0.050000;10;0.808000
0.060000;10;0.747000
0.070000;10;0.732000
0.080000;10;0.712000
0.090000;10;0.640000
0.100000;10;0.629000
0.110000;10;0.620000
0.120000;10;0.582000
0.130000;10;0.547000
0.140000;10;0.521000
0.150000;10;0.510000
0.160000;10;0.501000
0.170000;10;0.452000
0.180000;10;0.424000
0.190000;10;0.391000
0.200000;10;0.381000
0.210000;10;0.331000
0.220000;10;0.342000
0.230000;10;0.319000
0.240000;10;0.321000
0.250000;10;0.296000
0.260000;10;0.267000
0.270000;10;0.244000
0.280000;10;0.194000
0.290000;10;0.215000
0.300000;10;0.206000
0.310000;10;0.177000
0.320000;10;0.177000
0.330000;10;0.147000
0.340000;10;0.156000
0.350000;10;0.120000
0.360000;10;0.131000
0.370000;10;0.102000
0.380000;10;0.092000
0.390000;10;0.095000
0.400000;10;0.085000
0.410000;10;0.074000
0.420000;10;0.058000
0.430000;10;0.071000
0.440000;10;0.058000
0.450000;10;0.046000
0.460000;10;0.050000
0.470000;10;0.037000
0.480000;10;0.044000
0.490000;10;0.038000
0.500000;10;0.031000
0.510000;10;0.031000
0.520000;10;0.026000
0.530000;10;0.014000
0.540000;10;0.018000
0.550000;10;0.012000
0.560000;10;0.010000
0.570000;10;0.014000
0.580000;10;0.014000
0.590000;10;0.013000
0.600000;10;0.005000
0.610000;10;0.012000
0.620000;10;0.006000
0.630000;10;0.005000
0.640000;10;0.004000
0.650000;10;0.001000
0.660000;10;0.004000
0.670000;10;0.002000
0.680000;10;0.000000
0.690000;10;0.000000
0.700000;10;0.001000
0.710000;10;0.001000
0.720000;10;0.000000
0.730000;10;0.000000
0.740000;10;0.000000
0.750000;10;0.000000
0.760000;10;0.000000
0.770000;10;0.000000
0.780000;10;0.000000
0.790000;10;0.000000
0.800000;10;0.000000
0.810000;10;0.000000
0.820000;10;0.000000
0.830000;10;0.000000
0.840000;10;0.000000
0.850000;10;0.000000
0.860000;10;0.000000
0.870000;10;0.000000
0.880000;10;0.000000
0.890000;10;0.000000
0.900000;10;0.000000
0.910000;10;0.000000
0.920000;10;0.000000
0.930000;10;0.000000
0.940000;10;0.000000
0.950000;10;0.000000
0.960000;10;0.000000
0.970000;10;0.000000
0.980000;10;0.000000
0.990000;10;0.000000
1.000000;10;0.000000
0.000000;20;1.000000
0.010000;20;0.934000
0.020000;20;0.873000
0.030000;20;0.808000
0.040000;20;0.751000
0.050000;20;0.708000
0.060000;20;0.641000
