p;n;connectedGraphsPercentatge
0.000000;50;1.000000
0.010000;50;0.960000
0.020000;50;0.896000
0.030000;50;0.833000
0.040000;50;0.795000
0.050000;50;0.732000
0.060000;50;0.694000
0.070000;50;0.672000
0.080000;50;0.620000
0.090000;50;0.536000
0.100000;50;0.526000
0.110000;50;0.487000
0.120000;50;0.463000
0.130000;50;0.434000
0.140000;50;0.390000
0.150000;50;0.359000
0.160000;50;0.344000
0.170000;50;0.284000
0.180000;50;0.294000
0.190000;50;0.262000
0.200000;50;0.237000
0.210000;50;0.206000
0.220000;50;0.217000
0.230000;50;0.164000
0.240000;50;0.168000
0.250000;50;0.142000
0.260000;50;0.136000
0.270000;50;0.105000
0.280000;50;0.106000
0.290000;50;0.113000
0.300000;50;0.089000
0.310000;50;0.055000
0.320000;50;0.080000
0.330000;50;0.055000
0.340000;50;0.053000
0.350000;50;0.039000
0.360000;50;0.035000
0.370000;50;0.041000
0.380000;50;0.032000
0.390000;50;0.027000
0.400000;50;0.029000
0.410000;50;0.020000
0.420000;50;0.021000
0.430000;50;0.012000
0.440000;50;0.015000
0.450000;50;0.007000
0.460000;50;0.010000
0.470000;50;0.005000
0.480000;50;0.013000
0.490000;50;0.014000
0.500000;50;0.005000
0.510000;50;0.003000
0.520000;50;0.011000
0.530000;50;0.002000
0.540000;50;0.001000
0.550000;50;0.001000
0.560000;50;0.000000
0.570000;50;0.002000
0.580000;50;0.002000
0.590000;50;0.000000
0.600000;50;0.000000
0.610000;50;0.002000
0.620000;50;0.003000
0.630000;50;0.000000
0.640000;50;0.001000
0.650000;50;0.001000
0.660000;50;0.000000
0.670000;50;0.000000
0.680000;50;0.000000
0.690000;50;0.000000
0.700000;50;0.001000
0.710000;50;0.000000
0.720000;50;0.000000
0.730000;50;0.000000
0.740000;50;0.000000
0.750000;50;0.000000
0.760000;50;0.000000
0.770000;50;0.001000
0.780000;50;0.000000
0.790000;50;0.001000
0.800000;50;0.000000
0.810000;50;0.002000
0.820000;50;0.002000
0.830000;50;0.001000
0.840000;50;0.006000
0.850000;50;0.003000
0.860000;50;0.007000
0.870000;50;0.010000
0.880000;50;0.020000
0.890000;50;0.025000
0.900000;50;0.036000
0.910000;50;0.063000
0.920000;50;0.101000
0.930000;50;0.132000
0.940000;50;0.166000
0.950000;50;0.236000
0.960000;50;0.304000
0.970000;50;0.365000
0.980000;50;0.366000
0.990000;50;0.320000
1.000000;50;0.000000
0.000000;100;1.000000
0.010000;100;0.995000
0.020000;100;0.990000
0.030000;100;0.985000
0.040000;100;0.984000
0.050000;100;0.971000
0.060000;100;0.976000
0.070000;100;0.970000
0.080000;100;0.950000
0.090000;100;0.946000
0.100000;100;0.941000
0.110000;100;0.926000
0.120000;100;0.925000
0.130000;100;0.937000
0.140000;100;0.913000
0.150000;100;0.887000
0.160000;100;0.891000
0.170000;100;0.857000
0.180000;100;0.876000
0.190000;100;0.872000
0.200000;100;0.858000
0.210000;100;0.866000
0.220000;100;0.844000
0.230000;100;0.809000
0.240000;100;0.808000
0.250000;100;0.826000
0.260000;100;0.754000
0.270000;100;0.744000
0.280000;100;0.752000
0.290000;100;0.751000
0.300000;100;0.734000
0.310000;100;0.676000
0.320000;100;0.664000
0.330000;100;0.657000
0.340000;100;0.630000
0.350000;100;0.611000
0.360000;100;0.569000
0.370000;100;0.594000
0.380000;100;0.558000
0.390000;100;0.544000
0.400000;100;0.492000
0.410000;100;0.484000
0.420000;100;0.460000
0.430000;100;0.412000
0.440000;100;0.396000
0.450000;100;0.379000
0.460000;100;0.336000
0.470000;100;0.309000
0.480000;100;0.291000
0.490000;100;0.290000
0.500000;100;0.259000
0.510000;100;0.224000
0.520000;100;0.218000
0.530000;100;0.181000
0.540000;100;0.168000
0.550000;100;0.142000
0.560000;100;0.129000
0.570000;100;0.132000
0.580000;100;0.087000
0.590000;100;0.075000
0.600000;100;0.069000
0.610000;100;0.071000
0.620000;100;0.055000
0.630000;100;0.050000
0.640000;100;0.042000
0.650000;100;0.022000
0.660000;100;0.020000
0.670000;100;0.024000
0.680000;100;0.014000
0.690000;100;0.015000
0.700000;100;0.012000
0.710000;100;0.010000
0.720000;100;0.006000
0.730000;100;0.008000
0.740000;100;0.004000
0.750000;100;0.004000
0.760000;100;0.002000
0.770000;100;0.002000
0.780000;100;0.000000
